"relative_path","classification","v2_sha256","v1_sha256"
"skills\useful-skills\callable.md","SAME","FA95681443E429DE3BD02861464F03E1D05C3DB9C1F95AABB5A9A65D67684A9F","FA95681443E429DE3BD02861464F03E1D05C3DB9C1F95AABB5A9A65D67684A9F"
"contract-kit-v17\src\webui\hub\routers\capabilities.py","SAME","C34BA2C59577208BCF353E02EAF015BA328DE5A891C2EBB63328247724A4E47A","C34BA2C59577208BCF353E02EAF015BA328DE5A891C2EBB63328247724A4E47A"
"contract-kit-v17\src\webui\panels\mcp.js","SAME","65A85D253802C76718AD1F699833DEF7AA4137827F7BD46956C57B3E7ACFACA9","65A85D253802C76718AD1F699833DEF7AA4137827F7BD46956C57B3E7ACFACA9"
"skills\useful-skills\skills\agents-sdk\SKILL.md","SAME","6769C6520383ED5501EA88DC4F9291517A8642167D859486181585063E8B7D2F","6769C6520383ED5501EA88DC4F9291517A8642167D859486181585063E8B7D2F"
"contract-kit-v17\agent_00_integration_lead.py","SAME","4FB7FDE11AF562F82EDB17BCA12862D6177B0037B9311CD389C74BEECE5A2960","4FB7FDE11AF562F82EDB17BCA12862D6177B0037B9311CD389C74BEECE5A2960"
"agentic-truth\AGENT_ROLE_MATRIX.md","SAME","D87A929F37AEFE68CB705CCDE9A83292D3CBCB966FDE1D06EE05A791D5D8EE9C","D87A929F37AEFE68CB705CCDE9A83292D3CBCB966FDE1D06EE05A791D5D8EE9C"
"contract-kit-v17\update.md","SAME","816861442AC68ED63782A6CEA72190B3B48D945388C4374E9C1CECE40933BB2F","816861442AC68ED63782A6CEA72190B3B48D945388C4374E9C1CECE40933BB2F"
"skills\useful-skills\discovery.ts","SAME","9961BFA3CFD35F694590FD61E461FA73D733CD685D45289B2A8735C806A85EF4","9961BFA3CFD35F694590FD61E461FA73D733CD685D45289B2A8735C806A85EF4"
"skills\useful-skills\skills\index.json","SAME","4BA4A74E56DA3E31F32FA1B0798C8902E009F2B59A55C2DD2B97F9F0A17A6415","4BA4A74E56DA3E31F32FA1B0798C8902E009F2B59A55C2DD2B97F9F0A17A6415"
"skills\useful-skills\QWEN_JSON.txt","SAME","62B9640B31A4C59066CAC8E9D26D26FDDF7A55B4FECB1815CACE61F5333DAE51","62B9640B31A4C59066CAC8E9D26D26FDDF7A55B4FECB1815CACE61F5333DAE51"
"skills\useful-skills\typescript.js","SAME","57E5836D379B0F949B8E584E0420D0D48E55E0BD29D38DDBCCE4A0343147C86D","57E5836D379B0F949B8E584E0420D0D48E55E0BD29D38DDBCCE4A0343147C86D"
"skills\useful-skills\versions\content.ts","SAME","632FCA8112F6E2EFD20ADD580A59DB91C29C65A52C668735FCBEC567987C0576","632FCA8112F6E2EFD20ADD580A59DB91C29C65A52C668735FCBEC567987C0576"
"contract-kit-v17\docs\kilocode-settings-images\Screenshot_1827.png","SAME","B2CFE939D9DFFEA3C0E28969527664EED19435CBAE1E44961ADECCA264DABE47","B2CFE939D9DFFEA3C0E28969527664EED19435CBAE1E44961ADECCA264DABE47"
"contract-kit-v17\tests\unit\test_webui_control_center.py","SAME","C5761052245695AEC263F7C75CF0FDD0BC195869A58173654A3EB4CA6B10222A","C5761052245695AEC263F7C75CF0FDD0BC195869A58173654A3EB4CA6B10222A"
"skills\useful-skills\test_app_conversation_skills_endpoint.py","SAME","FA7D8BE2705C71A531E18D2629EFB8E023C8F2ADFAB0DB3D2169E3FC1D76885F","FA7D8BE2705C71A531E18D2629EFB8E023C8F2ADFAB0DB3D2169E3FC1D76885F"
"skills\useful-skills\references\docker-image-locations.md","SAME","A0FEFAA50F5AE576890B8C93EE9B5341D86BD441A73C8D53B66552626B4C5085","A0FEFAA50F5AE576890B8C93EE9B5341D86BD441A73C8D53B66552626B4C5085"
"contract-kit-v17\FINAL_SUMMARY.md","SAME","3EB2C8FF5163F52D68F3AF228344E2E5099699C4A83B3039FFC317B17457B0F5","3EB2C8FF5163F52D68F3AF228344E2E5099699C4A83B3039FFC317B17457B0F5"
"contract-kit-v17\src\webui\hub\routers\proxies.py","SAME","F2ACC1BFF1E145237310DC5771BE0DCC5DCAD83587DEEE06F91F90DE6947E56A","F2ACC1BFF1E145237310DC5771BE0DCC5DCAD83587DEEE06F91F90DE6947E56A"
"skills\useful-skills\skills\versions.d.ts","SAME","196F488F5A66D0E87F44C08BC961F17795F5965B673D8399D2D49E08AA094DEB","196F488F5A66D0E87F44C08BC961F17795F5965B673D8399D2D49E08AA094DEB"
"skills\useful-skills\skills\versions\content.ts","SAME","632FCA8112F6E2EFD20ADD580A59DB91C29C65A52C668735FCBEC567987C0576","632FCA8112F6E2EFD20ADD580A59DB91C29C65A52C668735FCBEC567987C0576"
"contract-kit-v17\tests\hub\test_kom_router.py","SAME","D2BA20649539A678AD3FE2351EA0C35B401553ECFB01123C7899BD2C703E5BAB","D2BA20649539A678AD3FE2351EA0C35B401553ECFB01123C7899BD2C703E5BAB"
"skills\useful-skills\skills\content.js","SAME","2A1A63DDC6F9F228888237DC59766DEDCA21F9C63579008EF160BD48DDA28795","2A1A63DDC6F9F228888237DC59766DEDCA21F9C63579008EF160BD48DDA28795"
"skills\useful-skills\skills\skillInvocation.ts","SAME","89CD414A8FC7D98E1AF8799C9A3505D5CDF7A4247BF1B183A52D9F807DEB2A50","89CD414A8FC7D98E1AF8799C9A3505D5CDF7A4247BF1B183A52D9F807DEB2A50"
"contract-kit-v17\config\agent_policies.json","SAME","9E38DBA0A3818AA5D85F17BDC634388237B936D52C85851F0CA8D99719C46B87","9E38DBA0A3818AA5D85F17BDC634388237B936D52C85851F0CA8D99719C46B87"
"skills\useful-skills\fix-py-line-too-long.md","SAME","37F0752854D63CE5B45640D214E10019513C1BE4C36CA4B938A6E2557F9DF4CC","37F0752854D63CE5B45640D214E10019513C1BE4C36CA4B938A6E2557F9DF4CC"
"skills\useful-skills\skills\github.md","SAME","9BC3BD6783FEF3D4163098D2181FFFA6EEEE9D971A60D009EF535F99C3DD84EC","9BC3BD6783FEF3D4163098D2181FFFA6EEEE9D971A60D009EF535F99C3DD84EC"
"skills\useful-skills\file_reader\file_readers.py","SAME","A75AC6338E18FBEA193D91E95AF66A045F18A0E60B8927D514A742EB100C385A","A75AC6338E18FBEA193D91E95AF66A045F18A0E60B8927D514A742EB100C385A"
"skills\useful-skills\skills\content.d.mts","SAME","1BC9FD55410F2BB2E79DC8358A413B9454C3C9CBD27137D271FD9D71F8090FD9","1BC9FD55410F2BB2E79DC8358A413B9454C3C9CBD27137D271FD9D71F8090FD9"
"skills\useful-skills\vscode-visual-regression\SKILL.md","SAME","BB4B41246B5D30F4FB36B3C0C38648EA01F32314144A98731F9B5603DE2B59B9","BB4B41246B5D30F4FB36B3C0C38648EA01F32314144A98731F9B5603DE2B59B9"
"skills\useful-skills\agent_skills\repo_ops\repo_ops.py","SAME","3386AB176E4BDDA86224061132F0DA453131F8D5E7D924F9EA09D9F464FD7A6D","3386AB176E4BDDA86224061132F0DA453131F8D5E7D924F9EA09D9F464FD7A6D"
"contract-kit-v17\src\integration\privacy_guard.py","SAME","2661CE4D063F4882878A21EA3290CE51E4D71747B51CF402CEE2ECAB887F65B7","2661CE4D063F4882878A21EA3290CE51E4D71747B51CF402CEE2ECAB887F65B7"
"skills\useful-skills\tools.js","SAME","ACEA2D7E126A2B873F951669505E3C1F0FB3B10610EC068B3E6210A6A026C89D","ACEA2D7E126A2B873F951669505E3C1F0FB3B10610EC068B3E6210A6A026C89D"
"contract-kit-v17\docs\kilocode-settings-images\Screenshot_1910.png","SAME","77473B088A20CE4F0C711362042DDDD56DC3A8FFFB97DF92541B5749B01A5DBD","77473B088A20CE4F0C711362042DDDD56DC3A8FFFB97DF92541B5749B01A5DBD"
"contract-kit-v17\docs\kilocode-settings-images\Screenshot_1816.png","SAME","9363E9892F2F972912224BA5E17B4A7966E564A6514204147605556927A57731","9363E9892F2F972912224BA5E17B4A7966E564A6514204147605556927A57731"
"skills\useful-skills\skills\versions.mjs","SAME","DC1BF2FBCD2462D0FF3F2533C080B8F30E4A531C5F7E3F1B3916DE964C0071C2","DC1BF2FBCD2462D0FF3F2533C080B8F30E4A531C5F7E3F1B3916DE964C0071C2"
"contract-kit-v17\src\webui\panels\core.js","SAME","1BC76E6B71E9C5DDB213D90A7C5B645B398D6291B0CAF44F9D9515FA96A9B95C","1BC76E6B71E9C5DDB213D90A7C5B645B398D6291B0CAF44F9D9515FA96A9B95C"
"skills\reference\skills-master.md","SAME","A304AF0512775E4D8826CCCF82AF2EDC74A2B1D97451DA90D87817ABFEAEFCBA","A304AF0512775E4D8826CCCF82AF2EDC74A2B1D97451DA90D87817ABFEAEFCBA"
"skills\useful-skills\client.js","SAME","DDF88DDE2BEDFB949EC86A170825BBBF1759DFDC4A6F716DEF5B9281A66BA35D","DDF88DDE2BEDFB949EC86A170825BBBF1759DFDC4A6F716DEF5B9281A66BA35D"
"contract-kit-v17\docs\kilocode-settings-images\Screenshot_1819.png","SAME","9555EC862E64707DE775F0192353D54467DE94024A73C98A92E4F68D43918796","9555EC862E64707DE775F0192353D54467DE94024A73C98A92E4F68D43918796"
"skills\useful-skills\evals-context\SKILL.md","SAME","7BDB85C7F7A7EAEFD0AF766DA551E5A5CD2DA580B83FDBBE4ADFAEB1CA5DB005","7BDB85C7F7A7EAEFD0AF766DA551E5A5CD2DA580B83FDBBE4ADFAEB1CA5DB005"
"contract-kit-v17\src\integration\task_ledger.py","SAME","1BCE570D5684527AE6DF0D37AF703AC346F3E2FF4C48335DA2DC8AA95BB8BE3C","1BCE570D5684527AE6DF0D37AF703AC346F3E2FF4C48335DA2DC8AA95BB8BE3C"
"README.md","SAME","C4FD707166A266D6C3E02ED746B3505951FAC6184E56E08FB362553F8E2ADE0A","C4FD707166A266D6C3E02ED746B3505951FAC6184E56E08FB362553F8E2ADE0A"
"contract-kit-v17\src\webui\test_kilocode_integration.py","SAME","FB52825652E314F4BA63649191BBA635F341994AF4D1A8D7D4C1BEE3C5A5949F","FB52825652E314F4BA63649191BBA635F341994AF4D1A8D7D4C1BEE3C5A5949F"
"skills\useful-skills\file_reader\__init__.py","SAME","719118703331EF601117ABBA015C76948AAF476BB80F3481676C1E19095833F0","719118703331EF601117ABBA015C76948AAF476BB80F3481676C1E19095833F0"
"skills\useful-skills\content.ts","SAME","905436B6EE1596EEFF63712927199D80EE13A1AFBB66B7A8569659D43906C49E","905436B6EE1596EEFF63712927199D80EE13A1AFBB66B7A8569659D43906C49E"
"skills\useful-skills\skill-manager\index.ts","SAME","F159E3D1475501F9476084415683726F43BA9D86E21F629B2F199E23C503F3DB","F159E3D1475501F9476084415683726F43BA9D86E21F629B2F199E23C503F3DB"
"skills\useful-skills\skills\index.d.ts","SAME","AE49C650056E2C3C87E0BA36A2E04EAC0E155EA5FD1344021624E91CF222DFEC","AE49C650056E2C3C87E0BA36A2E04EAC0E155EA5FD1344021624E91CF222DFEC"
"contract-kit-v17\src\blockchain_audit\audit_chain.py","SAME","F1B70E46846C619A136C855323A03BF716CDABEEDB8FE0A04811BBAB1EE79171","F1B70E46846C619A136C855323A03BF716CDABEEDB8FE0A04811BBAB1EE79171"
"skills\useful-skills\skills\skill-modal.test.tsx","SAME","315A17EC2FFF1FC41A2ECD5AF24689E343653B076E4739E232EEBC272CCA4DBE","315A17EC2FFF1FC41A2ECD5AF24689E343653B076E4739E232EEBC272CCA4DBE"
"contract-kit-v17\docs\cross_surface_parity_matrix.md","SAME","B6A771EF082206DA6A7CB96FBCBEBC2B32B75E4D4D88B914208DB7863FFE472D","B6A771EF082206DA6A7CB96FBCBEBC2B32B75E4D4D88B914208DB7863FFE472D"
"contract-kit-v17\docs\diagrams\02_webui_panels.svg","SAME","DCFB623CA27FA2B1E7AD8F303D128C92B1E161944C19153730E5D4579DBA2660","DCFB623CA27FA2B1E7AD8F303D128C92B1E161944C19153730E5D4579DBA2660"
"skills\useful-skills\skills\versions\index.d.ts","SAME","93AA57C2A0628412ABB487E938C7D85CCFA9C416608CA17DF17E8C935FDC6BDB","93AA57C2A0628412ABB487E938C7D85CCFA9C416608CA17DF17E8C935FDC6BDB"
"contract-kit-v17\docs\diagrams\07_deployment_topology.svg","SAME","0284D7CAE4321E027AFD6E0AA24EF4964A7B49E2C9F11A602A46DFDAC4E428DF","0284D7CAE4321E027AFD6E0AA24EF4964A7B49E2C9F11A602A46DFDAC4E428DF"
"contract-kit-v17\docs\07_TESTING_GUIDE.md","SAME","E9C046FE80D89162DAF7D582EAFAC383635A35AB62B313FA1FBDA8B31698982A","E9C046FE80D89162DAF7D582EAFAC383635A35AB62B313FA1FBDA8B31698982A"
"skills\useful-skills\skill-item-expanded.tsx","SAME","C295FF69A9EB83BD3BDE8234DF490A1779BF0C60993372C9E831C49C9B54C512","C295FF69A9EB83BD3BDE8234DF490A1779BF0C60993372C9E831C49C9B54C512"
"skills\useful-skills\versions\index.ts","SAME","9BDCC3BD7F70109BEC64FC790122E6265E5C3C2E8ABFCA7491402A1C5517CD7E","9BDCC3BD7F70109BEC64FC790122E6265E5C3C2E8ABFCA7491402A1C5517CD7E"
"skills\useful-skills\skills\pdflatex.md","SAME","B91F2C9B32820094611C176D48A2782D4F57FB00EB68955E091D277AE291F59F","B91F2C9B32820094611C176D48A2782D4F57FB00EB68955E091D277AE291F59F"
"skills\useful-skills\versions\index.js","SAME","15829C1D07397C2A2A22FBBDE54ED9AC09ED9070ACCADD48C21C2FB5765E5DA4","15829C1D07397C2A2A22FBBDE54ED9AC09ED9070ACCADD48C21C2FB5765E5DA4"
"contract-kit-v17\src\webui\panels\permissions.js","SAME","C3D5D34613D426A4405BC1DA6DE22B117B6B68EAECD338133A6465A56F8F063F","C3D5D34613D426A4405BC1DA6DE22B117B6B68EAECD338133A6465A56F8F063F"
"contract-kit-v17\src\__init__.py","SAME","939F621C298E6A7448ECE24ABF87160A810FE8E3BBC348A80028A6E9E2E5186D","939F621C298E6A7448ECE24ABF87160A810FE8E3BBC348A80028A6E9E2E5186D"
"contract-kit-v17\docs\kilocode-settings-images\Screenshot_1817.png","SAME","3976A37FA81973E457B993CF50B32BDFB042EAF13E11C35ACECC6B46A42EF15F","3976A37FA81973E457B993CF50B32BDFB042EAF13E11C35ACECC6B46A42EF15F"
"skills\useful-skills\docker-image-locations.md","SAME","A0FEFAA50F5AE576890B8C93EE9B5341D86BD441A73C8D53B66552626B4C5085","A0FEFAA50F5AE576890B8C93EE9B5341D86BD441A73C8D53B66552626B4C5085"
"contract-kit-v17\agent_monitor_dashboard.py","SAME","83E1D6E74AEA75C0901E3DC9449D7485344E101B79369D8A37E0CF121E84846A","83E1D6E74AEA75C0901E3DC9449D7485344E101B79369D8A37E0CF121E84846A"
"skills\useful-skills\references\sdk-pinning-examples.md","SAME","AA965E44A158DC790B9613BB127EC87B0A4435842AFF917C29F4D60F91DBD6FA","AA965E44A158DC790B9613BB127EC87B0A4435842AFF917C29F4D60F91DBD6FA"
"skills\useful-skills\create-pull-request\SKILL.md","SAME","1D49400F76874CA05A277397E510A77C7CAD68AC7477638B1C39D4E3E17D99F9","1D49400F76874CA05A277397E510A77C7CAD68AC7477638B1C39D4E3E17D99F9"
"skills\useful-skills\agentskills.py","SAME","8098D50336FA791AF7CCAAE0E50899347B2F5881827E0D2C6194703E965B28D2","8098D50336FA791AF7CCAAE0E50899347B2F5881827E0D2C6194703E965B28D2"
"skills\useful-skills\config.py","SAME","305005817190A295A2778911537C5D7BC259E1113BD2D3351B0DEFD8F3E89A82","305005817190A295A2778911537C5D7BC259E1113BD2D3351B0DEFD8F3E89A82"
"contract-kit-v17\tests\hub\__init__.py","SAME","7F324F776334385764FAE5614FDD01C35AF1FDA47644ED13E5F7B8FCD73BFC82","7F324F776334385764FAE5614FDD01C35AF1FDA47644ED13E5F7B8FCD73BFC82"
"skills\useful-skills\skills\docker.md","SAME","96470C69C3CCE4BD0EF1FFC5216912D48A09531EAE268D0B53D03841AA236D12","96470C69C3CCE4BD0EF1FFC5216912D48A09531EAE268D0B53D03841AA236D12"
"skills\useful-skills\skills_router.py","SAME","A3AA1486DB62860BE5C1E0D0F45BF6C9B10DACF75A8BC07F0C766C6CE01B528F","A3AA1486DB62860BE5C1E0D0F45BF6C9B10DACF75A8BC07F0C766C6CE01B528F"
"skills\useful-skills\skills\azure_devops.md","SAME","B7C03D6DA9FB2C71A635619CC6ACAE8D9026BB6A1FE1FFE257E0F1612D915F27","B7C03D6DA9FB2C71A635619CC6ACAE8D9026BB6A1FE1FFE257E0F1612D915F27"
"skills\useful-skills\skills\versions\content.d.mts","SAME","393330FA597E5CC527D03DCA141EAC3F8DB9817FC0BE60DFFEA5CA445293057E","393330FA597E5CC527D03DCA141EAC3F8DB9817FC0BE60DFFEA5CA445293057E"
"skills\useful-skills\skill\discovery.ts","SAME","6D77D61F25BD3B544790B72628C3B643292CC34D29104A37F12F2FDD84548E62","6D77D61F25BD3B544790B72628C3B643292CC34D29104A37F12F2FDD84548E62"
"skills\useful-skills\skillsMessageHandler.spec.ts","SAME","F761ECAAC232494F0F718CCBCE59B22D32807F3EF4C5A4DFE03DC794B3520E10","F761ECAAC232494F0F718CCBCE59B22D32807F3EF4C5A4DFE03DC794B3520E10"
"contract-kit-v17\src\webui\panels\memory.js","SAME","A5EA019800F1CEA84C97C3C2CA03C0D78095145CCF637647B0FD0D0B0FE38FC2","A5EA019800F1CEA84C97C3C2CA03C0D78095145CCF637647B0FD0D0B0FE38FC2"
"skills\useful-skills\file_readers.py","SAME","A75AC6338E18FBEA193D91E95AF66A045F18A0E60B8927D514A742EB100C385A","A75AC6338E18FBEA193D91E95AF66A045F18A0E60B8927D514A742EB100C385A"
"skills\useful-skills\skills\agents-sdk\references\callable.md","SAME","FA95681443E429DE3BD02861464F03E1D05C3DB9C1F95AABB5A9A65D67684A9F","FA95681443E429DE3BD02861464F03E1D05C3DB9C1F95AABB5A9A65D67684A9F"
"contract-kit-v17\src\kilocode\__init__.py","SAME","50B0EC72F1F74016E232603E2C068B1A55382B962B310F21D4DB5C4CA21FD3CF","50B0EC72F1F74016E232603E2C068B1A55382B962B310F21D4DB5C4CA21FD3CF"
"contract-kit-v17\src\webui\panels\staging.js","SAME","82C6878ECA5347F36AA8B3508B73D26682F8FA351AAE6CB0FB679C182EBB50FD","82C6878ECA5347F36AA8B3508B73D26682F8FA351AAE6CB0FB679C182EBB50FD"
"skills\useful-skills\content.d.ts","SAME","A6D421AE046FD3BE2C613A75443FE6DFEF2117241AB37A18F57494BC1F77DB41","A6D421AE046FD3BE2C613A75443FE6DFEF2117241AB37A18F57494BC1F77DB41"
"skills\useful-skills\content.d.mts","SAME","1BC9FD55410F2BB2E79DC8358A413B9454C3C9CBD27137D271FD9D71F8090FD9","1BC9FD55410F2BB2E79DC8358A413B9454C3C9CBD27137D271FD9D71F8090FD9"
"skills\useful-skills\index.ts","SAME","E64C2941EC4F68321F5FC6EF1BDE24122940B356F909A7EA9EDADCE466794DF7","E64C2941EC4F68321F5FC6EF1BDE24122940B356F909A7EA9EDADCE466794DF7"
"skills\useful-skills\skill-content.tsx","SAME","97BF7CB59CA37702728B3E342D9499BDF81B1740AE0F7519309CB0D659F34558","97BF7CB59CA37702728B3E342D9499BDF81B1740AE0F7519309CB0D659F34558"
"contract-kit-v17\src\webui\hub\routers\settings.py","SAME","4440B11EAB4BEB2A45CF7A90E4C9DED28C8F33719562F8CA127E4E474FC7F13D","4440B11EAB4BEB2A45CF7A90E4C9DED28C8F33719562F8CA127E4E474FC7F13D"
"skills\useful-skills\skills\cn-check\SKILL.md","SAME","63D7241F9CC0AB5A5A810A4774C9C5928F95A96BD2C547597DDAF9A4FCB4B81F","63D7241F9CC0AB5A5A810A4774C9C5928F95A96BD2C547597DDAF9A4FCB4B81F"
"contract-kit-v17\QUICK_SUMMARY.md","SAME","A5A2B3023B85698431B997B9D01B630F9489956EC0AFD6D0C84C271E06881148","A5A2B3023B85698431B997B9D01B630F9489956EC0AFD6D0C84C271E06881148"
"contract-kit-v17\src\webui\hub\routers\kom.py","SAME","EAD3168A0C05C53FF1E941E2C471F3EC97778DDB2A04C365A2C3C4EC0CC8F62C","EAD3168A0C05C53FF1E941E2C471F3EC97778DDB2A04C365A2C3C4EC0CC8F62C"
"skills\useful-skills\npm.md","SAME","CF90B0966DA6D3A2B8990C2D0A420DF4626F97D5A3E20A8A534B53D607B4E6FB","CF90B0966DA6D3A2B8990C2D0A420DF4626F97D5A3E20A8A534B53D607B4E6FB"
"skills\useful-skills\roo-conflict-resolution\SKILL.md","SAME","8A863FE9DCCD22250019D921C987C9DF3C82D19C38DFE62BFB35211B954EC6B2","8A863FE9DCCD22250019D921C987C9DF3C82D19C38DFE62BFB35211B954EC6B2"
"contract-kit-v17\src\webui\hub\_http.py","SAME","D9D14B8940006EFFCAEFB138BB4FD0872DACB0147D16AD906987B76A076475B3","D9D14B8940006EFFCAEFB138BB4FD0872DACB0147D16AD906987B76A076475B3"
"skills\useful-skills\file_editor\__init__.py","SAME","B0ADFD191BAC17C91DC0C54B247914884877F1D94C9189490678C6E06044B9BB","B0ADFD191BAC17C91DC0C54B247914884877F1D94C9189490678C6E06044B9BB"
"skills\reference\VOYAGER_SKILL_ACQUISITION.md","SAME","31A0F04782FD7356DB9CCF0552664C07CA705691B5C822DF9A3E8AA717D389B2","31A0F04782FD7356DB9CCF0552664C07CA705691B5C822DF9A3E8AA717D389B2"
"contract-kit-v17\tests\hub\test_settings_proxy.py","SAME","A6C6D05FFE14AE3E1BA8EB325FD0CC4B73076678EFA750D64C7DB4FF85CBBA50","A6C6D05FFE14AE3E1BA8EB325FD0CC4B73076678EFA750D64C7DB4FF85CBBA50"
"contract-kit-v17\playwright.config.ts","SAME","3B28D9868B5333589B9540BC64ABF47F94E4A38108DBCAC64B37A8C71421AD44","3B28D9868B5333589B9540BC64ABF47F94E4A38108DBCAC64B37A8C71421AD44"
"skills\useful-skills\repo_ops\repo_ops.py","SAME","3386AB176E4BDDA86224061132F0DA453131F8D5E7D924F9EA09D9F464FD7A6D","3386AB176E4BDDA86224061132F0DA453131F8D5E7D924F9EA09D9F464FD7A6D"
"skills\useful-skills\versions.d.ts","SAME","196F488F5A66D0E87F44C08BC961F17795F5965B673D8399D2D49E08AA094DEB","196F488F5A66D0E87F44C08BC961F17795F5965B673D8399D2D49E08AA094DEB"
"contract-kit-v17\run_playwright_tests.py","SAME","4BED68846855270D858798D9EE6C6AD6DBCCB7261B598D50EFC6D207764D6F31","4BED68846855270D858798D9EE6C6AD6DBCCB7261B598D50EFC6D207764D6F31"
"skills\useful-skills\skill\discovery.test.ts","SAME","6FDEED4CD7CF44ACF0ECA1ED0F79B0DCC4B0208D7955268974B32CF91804A55B","6FDEED4CD7CF44ACF0ECA1ED0F79B0DCC4B0208D7955268974B32CF91804A55B"
"skills\useful-skills\agent_skills\file_reader\__init__.py","SAME","719118703331EF601117ABBA015C76948AAF476BB80F3481676C1E19095833F0","719118703331EF601117ABBA015C76948AAF476BB80F3481676C1E19095833F0"
"contract-kit-v17\src\webui\test_kilocode_agents.py","SAME","1C1BB95100DE7DBC9EADDA46CA977DFFCE3A8A0CBC18DA007983DDB7FA16683F","1C1BB95100DE7DBC9EADDA46CA977DFFCE3A8A0CBC18DA007983DDB7FA16683F"
"contract-kit-v17\src\kilocode\runtime_sync.py","SAME","722B48F656D69CAA50081C12D23400A35E3AF4EE26FE0C6E7E43B1BCC9BA0409","722B48F656D69CAA50081C12D23400A35E3AF4EE26FE0C6E7E43B1BCC9BA0409"
"skills\useful-skills\versions\versions.mjs","SAME","B9591C64AD477CEC05FD483BF37CDD7A3581A1055E30793A21C8E6180570366B","B9591C64AD477CEC05FD483BF37CDD7A3581A1055E30793A21C8E6180570366B"
"agentic-truth\WORK_LOOP_KERNEL.md","SAME","FFB686EC05EA64D2E5BF51D18F179CC02DF9353858C1DBFB1B4E62219490B7B0","FFB686EC05EA64D2E5BF51D18F179CC02DF9353858C1DBFB1B4E62219490B7B0"
"contract-kit-v17\tests\e2e\test_hub_playwright.ts","SAME","50DAFB42CBF11F10C7E79DD1CC1C36913C2C2D4B796F4FBF24C2229FF8D80D9E","50DAFB42CBF11F10C7E79DD1CC1C36913C2C2D4B796F4FBF24C2229FF8D80D9E"
"skills\useful-skills\agent_skills\agentskills.py","SAME","8098D50336FA791AF7CCAAE0E50899347B2F5881827E0D2C6194703E965B28D2","8098D50336FA791AF7CCAAE0E50899347B2F5881827E0D2C6194703E965B28D2"
"skills\useful-skills\use_skill.ts","SAME","4EA6F3C859D3FA9EDD038163C59EDE9DC2658BC9B9AA3165B2F7475B9D47778D","4EA6F3C859D3FA9EDD038163C59EDE9DC2658BC9B9AA3165B2F7475B9D47778D"
"skills\useful-skills\__tests__\skillInvocation.spec.ts","SAME","070F131EC634F01BBE2FF16DB5F41DE091E3986D46E088ADBA28E061F552C411","070F131EC634F01BBE2FF16DB5F41DE091E3986D46E088ADBA28E061F552C411"
"skills\useful-skills\skills-service.ts","SAME","7911D1D128ED81AE1901B97D13EC8425983289A56DC155BBAC0660018097E9A1","7911D1D128ED81AE1901B97D13EC8425983289A56DC155BBAC0660018097E9A1"
